attendance_id,student_id,attendance_percent
1,S2000,68.43
2,S2001,76.85
3,S2002,68.72
4,S2003,93.83
5,S2004,78.25
6,S2005,71.19
7,S2006,97.32
8,S2007,72.57
9,S2008,96.39
10,S2009,61.74
11,S2010,88.28
12,S2011,79.36
13,S2012,77.77
14,S2013,61.45
15,S2014,61.63
16,S2015,73.31
17,S2016,97.88
18,S2017,84.71
19,S2018,74.75
20,S2019,84.48
21,S2020,68.25
22,S2021,66.6
23,S2022,74.47
24,S2023,94.53
25,S2024,80.38
26,S2025,71.88
27,S2026,98.01
28,S2027,92.64
29,S2028,72.92
30,S2029,98.88
31,S2030,99.49
32,S2031,76.35
33,S2032,86.24
34,S2033,76.23
35,S2034,70.29
36,S2035,63.31
37,S2036,70.54
38,S2037,70.86
39,S2038,75.95
40,S2039,67.4
41,S2040,98.15
42,S2041,64.12
43,S2042,85.01
44,S2043,77.67
45,S2044,76.94
46,S2045,74.88
47,S2046,94.73
48,S2047,71.22
49,S2048,60.82
50,S2049,96.72
51,S2050,94.58
52,S2051,71.08
53,S2052,80.94
54,S2053,64.36
55,S2054,63.74
56,S2055,93.5
57,S2056,76.41
58,S2057,86.47
59,S2058,97.73
60,S2059,69.81
61,S2060,60.53
62,S2061,60.97
63,S2062,88.38
64,S2063,96.98
65,S2064,78.69
66,S2065,75.0
67,S2066,81.71
68,S2067,94.36
69,S2068,86.09
70,S2069,69.32
71,S2070,90.98
72,S2071,65.38
73,S2072,66.62
74,S2073,84.51
75,S2074,69.55
76,S2075,88.19
77,S2076,73.98
78,S2077,71.1
79,S2078,99.96
80,S2079,61.62
81,S2080,85.83
82,S2081,61.55
83,S2082,90.41
84,S2083,69.2
85,S2084,63.59
86,S2085,85.94
87,S2086,89.3
88,S2087,87.12
89,S2088,62.08
90,S2089,71.77
91,S2090,78.04
92,S2091,71.48
93,S2092,92.42
94,S2093,65.24
95,S2094,84.49
96,S2095,99.53
97,S2096,96.1
98,S2097,68.89
99,S2098,60.0
100,S2099,99.22
101,S2100,95.31
102,S2101,96.78
103,S2102,76.62
104,S2103,89.78
105,S2104,68.51
106,S2105,75.69
107,S2106,94.06
108,S2107,65.1
109,S2108,95.75
110,S2109,79.86
111,S2110,77.04
112,S2111,72.23
113,S2112,96.67
114,S2113,80.7
115,S2114,92.16
116,S2115,94.31
117,S2116,96.9
118,S2117,72.14
119,S2118,73.59
120,S2119,83.8
121,S2120,77.65
122,S2121,97.31
123,S2122,75.9
124,S2123,79.11
125,S2124,84.69
126,S2125,76.19
127,S2126,99.7
128,S2127,63.95
129,S2128,68.82
130,S2129,72.91
131,S2130,65.91
132,S2131,71.37
133,S2132,91.17
134,S2133,80.92
135,S2134,61.36
136,S2135,99.3
137,S2136,84.64
138,S2137,62.36
139,S2138,86.45
140,S2139,75.13
141,S2140,65.43
142,S2141,82.55
143,S2142,89.08
144,S2143,86.85
145,S2144,69.9
146,S2145,80.99
147,S2146,81.51
148,S2147,88.67
149,S2148,74.39
150,S2149,91.91
151,S2150,85.12
152,S2151,61.53
153,S2152,81.86
154,S2153,94.48
155,S2154,82.7
156,S2155,67.03
157,S2156,80.42
158,S2157,90.28
159,S2158,64.4
160,S2159,92.68
161,S2160,66.7
162,S2161,81.36
163,S2162,75.43
164,S2163,69.94
165,S2164,85.9
166,S2165,61.5
167,S2166,90.4
168,S2167,81.08
169,S2168,95.03
170,S2169,80.83
171,S2170,61.4
172,S2171,65.74
173,S2172,91.82
174,S2173,79.68
175,S2174,77.68
176,S2175,72.74
177,S2176,71.38
178,S2177,98.64
179,S2178,77.32
180,S2179,95.36
181,S2180,85.93
182,S2181,94.34
183,S2182,94.1
184,S2183,98.25
185,S2184,87.92
186,S2185,92.22
187,S2186,89.33
188,S2187,84.21
189,S2188,88.69
190,S2189,88.63
191,S2190,61.64
192,S2191,80.64
193,S2192,91.71
194,S2193,69.72
195,S2194,78.61
196,S2195,77.4
197,S2196,76.11
198,S2197,64.87
199,S2198,81.03
200,S2199,77.85
201,S2200,86.54
202,S2201,81.98
203,S2202,61.1
204,S2203,61.28
205,S2204,88.05
206,S2205,88.3
207,S2206,98.4
208,S2207,95.07
209,S2208,78.72
210,S2209,85.04
211,S2210,78.29
212,S2211,68.92
213,S2212,75.07
214,S2213,64.16
215,S2214,86.66
216,S2215,67.68
217,S2216,79.02
218,S2217,98.7
219,S2218,61.27
220,S2219,66.07
221,S2220,71.94
222,S2221,97.67
223,S2222,96.35
224,S2223,66.48
225,S2224,99.24
226,S2225,90.03
227,S2226,81.6
228,S2227,97.27
229,S2228,95.22
230,S2229,75.65
231,S2230,86.25
232,S2231,85.9
233,S2232,73.08
234,S2233,67.18
235,S2234,78.67
236,S2235,70.53
237,S2236,74.2
238,S2237,98.17
239,S2238,78.45
240,S2239,87.4
241,S2240,73.45
242,S2241,99.83
243,S2242,86.35
244,S2243,67.84
245,S2244,63.93
246,S2245,97.73
247,S2246,97.79
248,S2247,84.85
249,S2248,60.68
250,S2249,69.02
