activity_id,student_id,extra_curricular
1,S2000,Sports
2,S2001,Sports
3,S2002,Music
4,S2003,Sports
5,S2004,Sports
6,S2005,Art
7,S2006,Sports
8,S2007,Sports
9,S2008,Music
10,S2009,Music
11,S2010,Music
12,S2011,Sports
13,S2012,Art
14,S2013,None
15,S2014,Music
16,S2015,Art
17,S2016,Sports
18,S2017,Music
19,S2018,Art
20,S2019,None
21,S2020,Art
22,S2021,Sports
23,S2022,Music
24,S2023,Art
25,S2024,Art
26,S2025,Art
27,S2026,Music
28,S2027,Art
29,S2028,Sports
30,S2029,Sports
31,S2030,None
32,S2031,None
33,S2032,None
34,S2033,Music
35,S2034,Sports
36,S2035,Sports
37,S2036,None
38,S2037,None
39,S2038,Art
40,S2039,None
41,S2040,Music
42,S2041,None
43,S2042,Sports
44,S2043,Music
45,S2044,Art
46,S2045,Music
47,S2046,Art
48,S2047,Art
49,S2048,Sports
50,S2049,Music
51,S2050,Art
52,S2051,Music
53,S2052,Art
54,S2053,None
55,S2054,None
56,S2055,Music
57,S2056,Music
58,S2057,Art
59,S2058,Art
60,S2059,Art
61,S2060,Sports
62,S2061,Sports
63,S2062,Music
64,S2063,Music
65,S2064,None
66,S2065,None
67,S2066,Music
68,S2067,Art
69,S2068,Sports
70,S2069,Music
71,S2070,Music
72,S2071,None
73,S2072,Music
74,S2073,None
75,S2074,Sports
76,S2075,Music
77,S2076,Sports
78,S2077,None
79,S2078,Art
80,S2079,Art
81,S2080,Sports
82,S2081,Art
83,S2082,Sports
84,S2083,Art
85,S2084,Music
86,S2085,None
87,S2086,Art
88,S2087,Sports
89,S2088,None
90,S2089,Music
91,S2090,Music
92,S2091,Sports
93,S2092,Art
94,S2093,Art
95,S2094,None
96,S2095,Sports
97,S2096,Sports
98,S2097,None
99,S2098,None
100,S2099,Art
101,S2100,None
102,S2101,Sports
103,S2102,Music
104,S2103,Music
105,S2104,Music
106,S2105,Music
107,S2106,Sports
108,S2107,Music
109,S2108,Sports
110,S2109,Art
111,S2110,Music
112,S2111,Sports
113,S2112,Art
114,S2113,Art
115,S2114,Art
116,S2115,Music
117,S2116,None
118,S2117,Sports
119,S2118,Music
120,S2119,Sports
121,S2120,Sports
122,S2121,None
123,S2122,Music
124,S2123,None
125,S2124,Art
126,S2125,Music
127,S2126,Art
128,S2127,None
129,S2128,Art
130,S2129,Sports
131,S2130,None
132,S2131,Art
133,S2132,Art
134,S2133,Art
135,S2134,Art
136,S2135,Music
137,S2136,Art
138,S2137,Art
139,S2138,Music
140,S2139,Art
141,S2140,Art
142,S2141,Art
143,S2142,Music
144,S2143,Sports
145,S2144,Sports
146,S2145,Music
147,S2146,Sports
148,S2147,Sports
149,S2148,Music
150,S2149,None
151,S2150,Music
152,S2151,Sports
153,S2152,Sports
154,S2153,Art
155,S2154,None
156,S2155,Sports
157,S2156,Art
158,S2157,None
159,S2158,Sports
160,S2159,None
161,S2160,Art
162,S2161,Sports
163,S2162,Music
164,S2163,Music
165,S2164,Sports
166,S2165,Sports
167,S2166,Art
168,S2167,Art
169,S2168,Art
170,S2169,Sports
171,S2170,None
172,S2171,None
173,S2172,Sports
174,S2173,None
175,S2174,Music
176,S2175,Sports
177,S2176,Music
178,S2177,Music
179,S2178,Music
180,S2179,Art
181,S2180,Music
182,S2181,Art
183,S2182,Sports
184,S2183,Art
185,S2184,None
186,S2185,Music
187,S2186,Music
188,S2187,None
189,S2188,Art
190,S2189,Music
191,S2190,Art
192,S2191,None
193,S2192,Music
194,S2193,None
195,S2194,Art
196,S2195,Art
197,S2196,Art
198,S2197,Sports
199,S2198,None
200,S2199,Art
201,S2200,Art
202,S2201,Sports
203,S2202,Sports
204,S2203,None
205,S2204,None
206,S2205,Art
207,S2206,None
208,S2207,Sports
209,S2208,Music
210,S2209,Art
211,S2210,Sports
212,S2211,Sports
213,S2212,Art
214,S2213,None
215,S2214,Art
216,S2215,Sports
217,S2216,None
218,S2217,Sports
219,S2218,Art
220,S2219,Art
221,S2220,None
222,S2221,None
223,S2222,Sports
224,S2223,Music
225,S2224,Sports
226,S2225,None
227,S2226,Art
228,S2227,None
229,S2228,Music
230,S2229,Music
231,S2230,Sports
232,S2231,None
233,S2232,Art
234,S2233,Music
235,S2234,Sports
236,S2235,None
237,S2236,Art
238,S2237,Art
239,S2238,Art
240,S2239,Sports
241,S2240,Art
242,S2241,None
243,S2242,None
244,S2243,None
245,S2244,Music
246,S2245,Sports
247,S2246,Sports
248,S2247,Sports
249,S2248,Sports
250,S2249,None
