score_id,student_id,subject,score
1,S2000,math_score,85
2,S2001,math_score,42
3,S2002,math_score,68
4,S2003,math_score,74
5,S2004,math_score,78
6,S2005,math_score,57
7,S2006,math_score,59
8,S2007,math_score,82
9,S2008,math_score,99
10,S2009,math_score,97
11,S2010,math_score,62
12,S2011,math_score,73
13,S2012,math_score,72
14,S2013,math_score,89
15,S2014,math_score,87
16,S2015,math_score,49
17,S2016,math_score,72
18,S2017,math_score,86
19,S2018,math_score,72
20,S2019,math_score,87
21,S2020,math_score,65
22,S2021,math_score,59
23,S2022,math_score,54
24,S2023,math_score,76
25,S2024,math_score,72
26,S2025,math_score,56
27,S2026,math_score,44
28,S2027,math_score,89
29,S2028,math_score,95
30,S2029,math_score,43
31,S2030,math_score,42
32,S2031,math_score,60
33,S2032,math_score,79
34,S2033,math_score,42
35,S2034,math_score,60
36,S2035,math_score,87
37,S2036,math_score,96
38,S2037,math_score,88
39,S2038,math_score,47
40,S2039,math_score,81
41,S2040,math_score,75
42,S2041,math_score,100
43,S2042,math_score,68
44,S2043,math_score,92
45,S2044,math_score,78
46,S2045,math_score,73
47,S2046,math_score,61
48,S2047,math_score,94
49,S2048,math_score,70
50,S2049,math_score,67
51,S2050,math_score,74
52,S2051,math_score,73
53,S2052,math_score,52
54,S2053,math_score,80
55,S2054,math_score,43
56,S2055,math_score,82
57,S2056,math_score,45
58,S2057,math_score,40
59,S2058,math_score,51
60,S2059,math_score,74
61,S2060,math_score,98
62,S2061,math_score,50
63,S2062,math_score,62
64,S2063,math_score,53
65,S2064,math_score,58
66,S2065,math_score,76
67,S2066,math_score,55
68,S2067,math_score,83
69,S2068,math_score,67
70,S2069,math_score,84
71,S2070,math_score,70
72,S2071,math_score,92
73,S2072,math_score,46
74,S2073,math_score,85
75,S2074,math_score,91
76,S2075,math_score,66
77,S2076,math_score,56
78,S2077,math_score,46
79,S2078,math_score,54
80,S2079,math_score,92
81,S2080,math_score,79
82,S2081,math_score,51
83,S2082,math_score,94
