student_id,gender,grade_level,study_group
S2000,Male,Grade 10,Group B
S2001,Female,Grade 10,Group C
S2002,Male,Grade 11,Group A
S2003,Male,Grade 9,Group A
S2004,Female,Grade 11,Group B
S2005,Male,Grade 10,Group B
S2006,Male,Grade 9,Group C
S2007,Male,Grade 10,Group C
S2008,Female,Grade 10,Group B
S2009,Female,Grade 12,Group B
S2010,Male,Grade 9,Group B
S2011,Female,Grade 10,Group B
S2012,Male,Grade 12,Group A
S2013,Male,Grade 12,Group C
S2014,Female,Grade 12,Group C
S2015,Male,Grade 10,Group C
S2016,Female,Grade 12,Group C
S2017,Male,Grade 12,Group C
S2018,Female,Grade 11,Group A
S2019,Male,Grade 10,Group A
S2020,Male,Grade 10,Group B
S2021,Female,Grade 12,Group C
S2022,Male,Grade 11,Group C
S2023,Female,Grade 12,Group A
S2024,Male,Grade 10,Group C
S2025,Female,Grade 11,Group B
S2026,Male,Grade 11,Group C
S2027,Female,Grade 12,Group C
S2028,Male,Grade 11,Group C
S2029,Male,Grade 9,Group B
S2030,Female,Grade 10,Group B
S2031,Female,Grade 11,Group A
S2032,Male,Grade 11,Group C
S2033,Male,Grade 11,Group A
S2034,Female,Grade 9,Group B
S2035,Male,Grade 12,Group B
S2036,Male,Grade 12,Group C
S2037,Female,Grade 10,Group A
S2038,Male,Grade 10,Group B
S2039,Male,Grade 10,Group B
S2040,Male,Grade 11,Group A
S2041,Female,Grade 10,Group A
S2042,Female,Grade 11,Group B
S2043,Female,Grade 10,Group C
S2044,Male,Grade 12,Group C
S2045,Female,Grade 12,Group C
S2046,Female,Grade 10,Group C
S2047,Male,Grade 10,Group A
S2048,Female,Grade 9,Group B
S2049,Female,Grade 9,Group B
S2050,Male,Grade 10,Group C
S2051,Male,Grade 10,Group B
S2052,Male,Grade 10,Group A
S2053,Female,Grade 10,Group B
S2054,Female,Grade 11,Group B
S2055,Female,Grade 9,Group B
S2056,Female,Grade 10,Group C
S2057,Female,Grade 12,Group C
S2058,Female,Grade 9,Group B
S2059,Male,Grade 11,Group A
S2060,Male,Grade 12,Group B
S2061,Male,Grade 9,Group A
S2062,Male,Grade 10,Group A
S2063,Female,Grade 10,Group A
S2064,Male,Grade 11,Group A
S2065,Male,Grade 10,Group C
S2066,Male,Grade 10,Group B
S2067,Female,Grade 10,Group A
S2068,Male,Grade 12,Group A
S2069,Female,Grade 10,Group B
S2070,Male,Grade 12,Group A
S2071,Male,Grade 12,Group C
S2072,Male,Grade 10,Group A
S2073,Female,Grade 9,Group C
S2074,Male,Grade 11,Group C
S2075,Female,Grade 12,Group A
S2076,Male,Grade 9,Group B
S2077,Male,Grade 10,Group C
S2078,Male,Grade 11,Group A
S2079,Male,Grade 11,Group B
S2080,Male,Grade 9,Group C
S2081,Female,Grade 12,Group A
S2082,Female,Grade 12,Group A
S2083,Male,Grade 11,Group A
S2084,Female,Grade 9,Group C
S2085,Female,Grade 10,Group A
S2086,Female,Grade 9,Group A
S2087,Male,Grade 9,Group B
S2088,Female,Grade 12,Group C
S2089,Female,Grade 9,Group A
S2090,Female,Grade 10,Group C
S2091,Male,Grade 9,Group A
S2092,Female,Grade 12,Group A
S2093,Female,Grade 12,Group B
S2094,Female,Grade 12,Group A
S2095,Male,Grade 11,Group A
S2096,Male,Grade 9,Group B
S2097,Male,Grade 11,Group A
S2098,Female,Grade 11,Group A
S2099,Male,Grade 10,Group B
S2100,Male,Grade 9,Group A
S2101,Female,Grade 9,Group B
S2102,Male,Grade 11,Group C
S2103,Male,Grade 11,Group B
S2104,Male,Grade 11,Group B
S2105,Female,Grade 12,Group A
S2106,Female,Grade 9,Group C
S2107,Female,Grade 10,Group A
S2108,Male,Grade 9,Group A
S2109,Female,Grade 11,Group A
S2110,Male,Grade 10,Group A
S2111,Female,Grade 12,Group A
S2112,Female,Grade 10,Group C
S2113,Male,Grade 12,Group B
S2114,Female,Grade 9,Group C
S2115,Female,Grade 9,Group B
S2116,Female,Grade 11,Group B
S2117,Male,Grade 10,Group C
S2118,Female,Grade 10,Group A
S2119,Male,Grade 9,Group C
S2120,Female,Grade 10,Group A
S2121,Female,Grade 9,Group A
S2122,Female,Grade 10,Group B
S2123,Female,Grade 12,Group C
S2124,Male,Grade 9,Group A
S2125,Male,Grade 11,Group A
S2126,Female,Grade 12,Group C
S2127,Male,Grade 12,Group A
S2128,Male,Grade 11,Group B
S2129,Female,Grade 10,Group B
S2130,Male,Grade 12,Group C
S2131,Female,Grade 9,Group C
S2132,Male,Grade 9,Group C
S2133,Male,Grade 11,Group C
S2134,Female,Grade 9,Group B
S2135,Male,Grade 10,Group B
S2136,Male,Grade 12,Group B
S2137,Male,Grade 11,Group A
S2138,Female,Grade 11,Group A
S2139,Female,Grade 11,Group A
S2140,Male,Grade 10,Group B
S2141,Female,Grade 9,Group C
S2142,Male,Grade 9,Group C
S2143,Female,Grade 10,Group A
S2144,Male,Grade 9,Group A
S2145,Male,Grade 12,Group C
S2146,Female,Grade 10,Group A
S2147,Male,Grade 11,Group A
S2148,Male,Grade 10,Group B
S2149,Male,Grade 12,Group A
S2150,Female,Grade 11,Group B
S2151,Female,Grade 11,Group B
S2152,Male,Grade 9,Group A
S2153,Male,Grade 9,Group B
S2154,Female,Grade 9,Group B
S2155,Male,Grade 9,Group B
S2156,Male,Grade 12,Group C
S2157,Female,Grade 12,Group A
S2158,Male,Grade 12,Group C
S2159,Male,Grade 9,Group B
S2160,Female,Grade 9,Group B
S2161,Male,Grade 9,Group C
S2162,Male,Grade 11,Group B
S2163,Male,Grade 11,Group B
S2164,Male,Grade 10,Group A
S2165,Male,Grade 9,Group B
S2166,Male,Grade 10,Group C
S2167,Female,Grade 9,Group A
S2168,Male,Grade 9,Group B
S2169,Female,Grade 11,Group A
S2170,Male,Grade 12,Group C
S2171,Female,Grade 12,Group B
S2172,Male,Grade 11,Group B
S2173,Female,Grade 10,Group B
S2174,Male,Grade 11,Group C
S2175,Male,Grade 10,Group A
S2176,Female,Grade 9,Group C
S2177,Female,Grade 9,Group B
S2178,Female,Grade 9,Group C
S2179,Male,Grade 11,Group B
S2180,Female,Grade 12,Group C
S2181,Male,Grade 12,Group B
S2182,Male,Grade 12,Group C
S2183,Male,Grade 11,Group C
S2184,Female,Grade 11,Group A
S2185,Female,Grade 11,Group C
S2186,Male,Grade 11,Group C
S2187,Female,Grade 12,Group B
S2188,Female,Grade 12,Group A
S2189,Female,Grade 12,Group C
S2190,Female,Grade 10,Group A
S2191,Male,Grade 9,Group B
S2192,Male,Grade 11,Group A
S2193,Female,Grade 12,Group B
S2194,Female,Grade 10,Group A
S2195,Male,Grade 9,Group B
S2196,Female,Grade 9,Group B
S2197,Female,Grade 11,Group A
S2198,Female,Grade 9,Group A
S2199,Male,Grade 12,Group B
S2200,Female,Grade 11,Group B
S2201,Female,Grade 9,Group B
S2202,Female,Grade 9,Group B
S2203,Male,Grade 10,Group C
S2204,Male,Grade 12,Group A
S2205,Male,Grade 10,Group B
S2206,Male,Grade 10,Group C
S2207,Male,Grade 11,Group B
S2208,Male,Grade 11,Group B
S2209,Female,Grade 10,Group C
S2210,Female,Grade 12,Group B
S2211,Male,Grade 10,Group C
S2212,Male,Grade 11,Group C
S2213,Male,Grade 11,Group B
S2214,Female,Grade 9,Group C
S2215,Male,Grade 11,Group C
S2216,Male,Grade 11,Group B
S2217,Male,Grade 9,Group B
S2218,Male,Grade 9,Group B
S2219,Male,Grade 12,Group C
S2220,Male,Grade 12,Group A
S2221,Female,Grade 11,Group C
S2222,Female,Grade 12,Group C
S2223,Female,Grade 10,Group C
S2224,Female,Grade 10,Group C
S2225,Female,Grade 10,Group B
S2226,Male,Grade 10,Group C
S2227,Female,Grade 10,Group C
S2228,Male,Grade 9,Group A
S2229,Male,Grade 12,Group C
S2230,Male,Grade 10,Group C
S2231,Male,Grade 9,Group B
S2232,Male,Grade 9,Group A
S2233,Male,Grade 11,Group A
S2234,Male,Grade 11,Group C
S2235,Female,Grade 12,Group A
S2236,Female,Grade 11,Group A
S2237,Male,Grade 11,Group A
S2238,Female,Grade 12,Group C
S2239,Male,Grade 9,Group A
S2240,Female,Grade 10,Group A
S2241,Male,Grade 11,Group A
S2242,Female,Grade 12,Group B
S2243,Female,Grade 9,Group B
S2244,Female,Grade 10,Group C
S2245,Male,Grade 11,Group B
S2246,Male,Grade 10,Group C
S2247,Female,Grade 11,Group B
S2248,Female,Grade 12,Group C
S2249,Female,Grade 9,Group A
